audio_file|text
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_SURPRISE_00166.wav|मला वाटले की रॉजर बॅनिस्टर खचाखच भरलेल्या स्टेडियममध्ये जागतिक विक्रम करेल आणि पावसाळ्याच्या दिवशी त्याने एका छोट्या जमावासमोर असे केल्याचे ऐकून मी चकितच झालो.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_INDIC_00488.wav|पितृऋणांतून मुक्त झाल्यावर तू म्हणशील ते करावयास तो तयार आहे.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_HAPPY_00029.wav|माझ्या नवीन डाएटमुळे गेल्या पाच महिन्यांत दहा किलो वजन कमी करायला मदत झाली मला.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_BOOK_00743.wav|आम्ही घरच्या देवाला नमस्कार केले व देवळातून सुद्धा जाऊन आलो. जुना कद नेसून त्यांनी देवाची पूजा केली
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_NEWS_00429.wav|प्रधानमंत्री नरेंद्र मोदी यांनी ट्विटरवरुन इंदिरा गांधी यांना आदरांजली वाहिली आहे .
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_SAD_00202.wav|मी आज अनवधानाने माझा फोन खाली पाडला आणि स्क्रीनचा चक्काचूर झाला.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_CONV_02254.wav|हुमायूनचा मकबरा पंधराशे सत्तेचाळीसमध्ये बांधला गेला.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_INDIC_00403.wav|आम्ही सांगतो तसे कर म्हणजे बिरबलाचा कायमचा बंदोबस्त होईल दुसरा दरबारी म्हणाला.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_CONV_01178.wav|ॲश वेडनेसडे शेवटचा दिवस असतो गोवा कार्निव्हलचा, आणि त्या दिवसाचा शेवट प्रसिद्ध असलेल्या रेड अँड ब्लॅक डान्सने होतो.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_UMANG_00069.wav|सातशे सहासष्ट शून्य सत्याहत्तर हा पिनकोड असलेल्या भागात असलेली आणि चेतासंस्थाशास्त्र ही सेवा ऑफर करणारी ई.एस.आय.सी. केंद्रे शोधण्यात मदत करू शकता का?
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_SAD_00259.wav|कारगिल युद्धादरम्यान देशासाठी आपल्या प्राणांची आहुती देणाऱ्या सैनिकांची दृश्ये पाहताना मी भावनावश झालो होतो.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_BOOK_00143.wav|जणू प्रेमळ पित्याने जागे केले.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_HAPPY_00227.wav|मला उत्साही वाटतंय, कारण माझ्या स्टॉक पोर्टफोलिओनं सातत्यानं बाजाराला मागे टाकलंय.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_CONV_01830.wav|माझ्या बऱ्याच विद्यार्थ्यांच्या घरीही नेटवर्क कमी आहे.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_BOOK_00460.wav|भिकाऱ्यांच्या बाजूला आला. पै पैसा टाकीत आहे.
/root/bonsai/indic-emotion/rasa_marathi/wavs_female/train/MAR_F_NEWS_00294.wav|या दोघांना कोल्हापूर न्यायालयानं सात दिवसांची पोलिस कोठडी दिली आहे .
